#Numero(senza)	Vacc[V]	Icoil[A] s
0	293.1	1.24 0
1	279.9	1.24 0
2	279.9	1.34 0
3	279.9	1.55 0
4	279.9	1.87 0
5	237.0	1.87 0
6	237	1.43 0
7	237	1.29 0
8	237	1.58 0
9	252.3	1.23 0
10	252.3	1.44 0
11	252.3	1.61 0 
12	252.3	1.76 0
14	265.2	1.23 0
14	265.2	1.40 0
15	265.2	1.53 0
16	265.2	1.70 0
17	271.2	1.70 0
18	271.2	1.54 0
19	271.2	1.39 0
20	271.2	1.23 0
21	292.9	1.31 0
22	292.9	1.44 0
23	292.9	1.56 0
24	292.9	1.69 0
25	226	1.18 0
26	226	1.30 0
27	226	1.40 0
28	226	1.61 0
29	246	1.56 0
30	246	1.24 0
31	246	1.18 0
32	246.1	1.18	0#Vheat=4
33	246.1	1.18	0#vheat=5
34	246.1	1.18	0#vheat=6
35	246.1	1.18	0#vheat=7
36	246.1	1.18	0#vheat=3
37	207	1.30 0
38	206.9	1.17 0
39	206.9	1.07 0
#83	righello	
40	265.2	1.47	0#focus_min
41	265.2	1.47	0#focus_max
42	279.9	1.55	1#doppio
